場館,X,Y,項目
奧林匹克體育場,35.679261,139.715002,開幕式、閉幕式、田徑、足球（決賽）、七人制橄欖球、馬拉松（起點及終點
東京體育館,35.680307,139.712598,桌球
 國立代代木體育館,35.668317,139.699786,手球
日本武道館,35.693561,139.749928,柔道
皇居外苑,35.677198,139.758679,自行車公路賽起點
東京國際論壇,35.676884,139.764343,舉重
國技館,35.697185,139.793297,拳擊
有明競技場,35.636615,139.790196,排球
有明BMX,35.64028,139.78661,自行車BMX
有明場地賽場,,,自行車場地賽
有明體操競技場,35.642357,139.790508,體操
有明森林網球場,35.635959,139.786979,網球
台場海濱公園,35.630947,139.775991,鐵人三項、游泳
潮風公園,35.624165,139.768752,沙灘排球
東京國際展示場A館,35.630019,139.794216,角力
16. 東京國際展示場B館：,35.630019,139.794216,擊劍、跆拳道
17. 大井曲棍球競技場：,,,曲棍球
18. 海之森越野賽場：,,,馬術（越野）
19. 海之森水上競技場：,,,輕艇（輕艇靜水）、划船
20. 海之森山地賽場：,,,自行車（山地賽）
21. 若洲奧林匹克濱海碼頭：,,,帆船
22. 葛西臨海公園：,35.641927,139.860317,輕艇（激流）
23. 夢之島青年廣場體育館A：,,,羽毛球
24. 夢之島青年廣場體育館B：,,,籃球
25. 夢之島公園：,35.651368,139.827799,射箭
26. 夢之島體育場：,35.648828,139.823551,馬術
27. 奧林匹克水上運動中心：,,,游泳、跳水、水上芭蕾
28. 東京辰巳国際水泳場：,35.647869,139.819007,水球
29. 武藏野之森綜合體育設施：,,,現代五項（擊劍）
30. 東京體育場：,35.664566,139.527215,現代五項（馬術，跑步，射擊）、足球
31. 武藏野之森公園：,35.6753,139.523825,自行車（公路賽終點）
32. 陸上自衛隊朝霞訓練場：,35.785067,139.600189,射擊
33. 霞關鄉村俱樂部,35.9016,139.404327,高爾夫球
34. 札幌巨蛋,43.016026,141.409561,足球
35. 宮城體育場,38.335653,140.951853,足球
36. 埼玉2002體育場,35.903386,139.717576,足球
37. 橫濱國際綜合競技場,35.510086,139.606426,足球
