區域,景點,,地址,X,Y
千代田區,東京大神宮,," 2 Chome-4-1 Fujimi, Chiyoda, Tokyo 102-0071日本",35.699977,139.746724
,台所町跡,,,35.698608,139.75009
,靖國神社,,"3 Chome-1-1 Kudankita, Chiyoda, Tokyo 102-8246日本",35.694363,139.743849
,北之丸公園,,"日本〒102-0091 Tokyo, Chiyoda, Kitanomarukoen, １−1",35.691654,139.749978
,科學技術館,,"日本〒102-0091 Tokyo, Chiyoda, Kitanomarukoen, ２番１号",35.691877,139.753123
,近代美術館,," 3-1 Kitanomarukoen, Chiyoda, Tokyo 102-8322日本",35.690831,139.754664
,近代美術館工藝館,,"1-1 Kitanomarukoen, Chiyoda, Tokyo 102-0091日本",35.689948,139.750391
,清水門,," 1-1 Kitanomarukoen, 千代田区 Tokyo 102-0091日本",35.693038,139.752751
,田安門,,"〒102-0091, 2-5 Kitanomarukoen, Chiyoda, Tokyo, 日本",35.694318,139.749305
,日本武道館,," 2-3 Kitanomarukoen, Chiyoda, Tokyo 102-8321日本",35.693622,139.749842
,千鳥淵綠道,," 日本〒102-0074 Tokyo, 千代田区Kudanminami, 2 Chome−2−１１番地先",35.694388,139.747825
,大村益次郎像,,"〒102-0073, 2 Chome-1 Kudankita, Chiyoda, Tokyo 102-0073日本",35.695056,139.74636
,千鳥淵公園,,"Inner Circular Route, to, Japan, Chiyoda, Tokyo, 日本",35.689893,139.748599
,半藏門,,"1 Chome Kōjimachi, Chiyoda-ku, Tōkyō-to 102-0083日本",35.686477,139.741389
,清水谷公園,,"日本〒102-0094 Tokyo, 千代田区Kioicho, 2−1",35.681645,139.735858
,國立劇場,,"4-1 Hayabusacho, Chiyoda, Tokyo 102-8656日本",35.681842,139.743308
,江戶城跡石碑,,"日本〒100-8111 Tokyo, Chiyoda, 1−1",35.681868,139.745046
,憲政紀念館,,"1 Chome-1-1 Nagatacho, Chiyoda, Tokyo 100-0014日本",35.678339,139.747092
,日比谷公園,別名,"Hibiyakoen, 千代田区 Tokyo 100-0012日本",35.674517,139.756006
,日比谷公會堂,,"1-3 Hibiyakoen, Chiyoda, Tokyo 100-0012日本",35.671907,139.755695
,有樂町,," 2 Chome-7-1 Yurakucho, Chiyoda, Tokyo 100-0006日本",35.675215,139.76282
,帝國劇場,,"日本〒100-0005 Tokyo, Chiyoda, Marunouchi, 三丁目1番1号",35.676878,139.760704
,皇居外苑,,"日本〒100-8111 Tokyo, Chiyoda, 1−１",35.677268,139.758615
,KITTE,,,35.68007,139.764834
,Marunouchi Brick Square,,,35.679235,139.763079
,二重橋,正門石橋,,35.680496,139.753573
,皇居,,,35.685445,139.752799
,桔梗門,,,35.684334,139.758537
,江戶城跡,,,35.68803,139.7547
,吹上大宮御所,,,35.68669,139.748786
,千鳥淵砲台跡,千鳥ヶ淵砲台跡,,35.688515,139.747069
,宮中三殿,,,35.682156,139.749981
,GRANSTA,,,35.681631,139.766895
中央區,日之本帆布,,,35.682773,139.76636
,BAKE Cheese Tart,,,,
,銀の鈴,銀之鈴,,35.681424,139.76732
,茅乃舍,,,35.686414,139.774246
,Neustadt Brüder Gransta,,,35.681987,139.765491
,動輪廣場,動輪の広場,,35.681476,139.764959
,東京車站,,,35.681437,139.767062
,東京府廳舍跡,,,,
,土佐藩上屋敷跡,,,35.67779,139.764866
,幸運的仔豬,,,,
,八重洲中央口,,,35.681256,139.768699
,GALERIE 四季島,,,35.680858,139.768258
港區,ずんだ茶寮,,,35.559394,139.787284
新宿區,江戸川小學,,,,
,赤城神社,,,35.705115,139.736040
,新宿歷史博物館,,,35.690216,139.725395
,東京玩具美術館,,,35.689957,139.718060
,東京消防博物館,,,35.688441, 139.719864
,四谷須賀神社,,,35.685576, 139.722490
,新宿御苑,,,35.684802,139.711007
,新宿中央公園,,,35.690322, 139.689591
,戶山公園,,,35.707114,139.705505
,林芙美子紀念館,林芙美子,,35.716154,139.684315
,おとめ山公園,,,35.717992,139.701629
文京區,明治天皇行幸所木戸舊邸,,,35.734597, 139.750025
,富士前公園,,,35.732442,139.750951
,神明公園,,,35.731761,139.754034
,動坂公園,,,35.732167, 139.756484
,駒込天祖神社,,,35.730676,139.754761
,六義園,,,35.733252,139.746578
,諏訪山吉祥寺,吉祥寺,,35.728173, 139.754783
,德源院,,,35.345659,136.388130
,養源寺,,,35.116768,136.234840
,海藏寺,,,35.120148,135.926140
,蓮久寺,,,34.995917,135.748495
,白山神社,,,35.722193, 139.750660
,西信寺,,,35.731092,139.728685
,大塚公園,,,,
,大塚坂下町公園,,,35.725799, 139.726635
,新大塚公園,,,35.717726,139.733535
,関口三丁目公園,,,35.713222, 139.729361
,講談社野間紀念館,,,35.714233, 139.725007
,椿山莊庭園,,,35.712491, 139.726123
,関口芭蕉庵,,,35.712587, 139.723570
,永青文庫,,,35.713476, 139.723248
,白玉稲荷神社,,,35.712370,139.724584
,目白台,,文京區東京都 112-0015,,
,大井玄洞翁胸像,,,35.711070,139.730923
,小日向公園,,,35.712363,139.736969
,印刷博物館,,,35.709454,139.741538
,切支丹屋敷跡,,,35.713692, 139.738333
,播磨坂,,,35.717037, 139.742308
,小石川諏訪神社,,,35.707071, 139.745381
,後樂公園,,,35.705091, 139.747681
,上屋敷跡,,,35.702442,139.750728
,清和公園,,,35.710421, 139.754455
